ID,X,Y,Area,City,Country,Continent,GridEPSG,dCenter,TransportSource,RushHour,TransportYear,DistanceDriving,DurationDriving,DistanceTransit,DurationTransit
50,575002,6196101,1005546,Montevideo,Uruguay,South_America,32721,59097.3113812999,Google,17h00,2020,78279.6310950593,5957.67414499108,NA,NA
51,576002,6196101,1005541,Montevideo,Uruguay,South_America,32721,59137.8240122032,Google,17h00,2020,78945.6246214702,6006.35501778872,NA,NA
52,577002,6196101,1005538,Montevideo,Uruguay,South_America,32721,59195.2045802556,Google,17h00,2020,79157.6534376615,6025.65842117946,NA,NA
53,578002,6196101,1005535,Montevideo,Uruguay,South_America,32721,59269.4040943413,Google,17h00,2020,79369.6822538529,6044.96182457019,NA,NA
54,579002,6196101,1005530,Montevideo,Uruguay,South_America,32721,59360.359484241,Google,17h00,2020,79485.3082099276,6054.00274111702,NA,NA
55,580002,6196101,1005526,Montevideo,Uruguay,South_America,32721,59467.9938664347,Google,17h00,2020,79499.0036504474,6052.19272882615,NA,NA
56,581002,6196101,1005523,Montevideo,Uruguay,South_America,32721,59592.2168651102,Google,17h00,2020,79512.6990909671,6050.38271653529,NA,NA
57,582002,6196101,1005519,Montevideo,Uruguay,South_America,32721,59732.9249852903,Google,17h00,2020,79526.3945314869,6048.57270424442,NA,NA
58,583002,6196101,1005514,Montevideo,Uruguay,South_America,32721,59890.0020345493,Google,17h00,2020,79540.0899720067,6046.76269195356,NA,NA
59,584002,6196101,1005511,Montevideo,Uruguay,South_America,32721,60063.3195893993,Google,17h00,2020,79556.0039393245,6045.03815954571,NA,NA
60,585002,6196101,1005506,Montevideo,Uruguay,South_America,32721,60252.7375021112,Google,17h00,2020,80329.4838992545,6072.50266036753,NA,NA
61,586002,6196101,1005501,Montevideo,Uruguay,South_America,32721,60458.1044434766,Google,17h00,2020,81102.9638591845,6099.96716118934,NA,NA
62,587002,6196101,1005498,Montevideo,Uruguay,South_America,32721,60679.2584768331,Google,17h00,2020,81876.4438191144,6127.43166201115,NA,NA
63,588002,6196101,1005493,Montevideo,Uruguay,South_America,32721,60916.027658559,Google,17h00,2020,82649.9237790444,6154.89616283296,NA,NA
64,589002,6196101,1005489,Montevideo,Uruguay,South_America,32721,61168.2306601909,Google,17h00,2020,83497.029985206507,6183.13226214538,NA,NA
65,590002,6196101,1005485,Montevideo,Uruguay,South_America,32721,61435.6774073365,Google,17h00,2020,85351.9064438029,6221.92973115195,NA,NA
66,591002,6196101,1005479,Montevideo,Uruguay,South_America,32721,61718.1697306257,Google,17h00,2020,86830.5993358516,6269.70988848042,NA,NA
67,592002,6196101,1005476,Montevideo,Uruguay,South_America,32721,62015.5020240772,Google,17h00,2020,87296.3367352171,6272.82092720551,NA,NA
68,593002,6196101,1005472,Montevideo,Uruguay,South_America,32721,62327.4619064367,Google,17h00,2020,87663.1986668955,6263.70820359323,NA,NA
69,594002,6196101,1005467,Montevideo,Uruguay,South_America,32721,62653.8308812663,Google,17h00,2020,88030.0605985738,6254.59547998094,NA,NA
70,595002,6196101,1005462,Montevideo,Uruguay,South_America,32721,62994.3849918254,Google,17h00,2020,88872.1247358305,6259.25073115007,NA,NA
71,596002,6196101,1005457,Montevideo,Uruguay,South_America,32721,63348.8954670744,Google,17h00,2020,90513.6070797389,6287.06742723628,NA,NA
72,597002,6196101,1005453,Montevideo,Uruguay,South_America,32721,63717.1293554435,Google,17h00,2020,91940.7806241641,6326.87007407655,NA,NA
73,598002,6196101,1005448,Montevideo,Uruguay,South_America,32721,64098.8501433397,Google,17h00,2020,93042.1701420465,6384.89330405674,NA,NA
74,599002,6196101,1005443,Montevideo,Uruguay,South_America,32721,64493.8183557023,Google,17h00,2020,94143.5596599289,6442.91653403692,NA,NA
75,600002,6196101,1005437,Montevideo,Uruguay,South_America,32721,64901.7921362602,Google,17h00,2020,95244.9491778112,6500.93976401711,NA,NA
76,601002,6196101,1005434,Montevideo,Uruguay,South_America,32721,65322.5278054847,Google,17h00,2020,94337.6894104652,6638.13566342641,NA,NA
77,602002,6196101,1005428,Montevideo,Uruguay,South_America,32721,65755.7803945655,Google,17h00,2020,92565.703195941,6809.41551250901,NA,NA
