Study_ID;Short_citation;Year;Growth_Habit;Species_Status;Mechanism;Disturbance_type;Ln_Overall;Ln_Overall_Var;Ln_Abundance;Ln_Abundance_Var;Ln_Biomass;Ln_Biomass_Var;Ln_Reproduction;Ln_Reproduction_Var;Ln_Richness;Ln_Richness_Var;Ln_Survival;Ln_Survival_Var;Ln_Damage;Ln_Damage_Var;Ln_HerbLoad;Ln_HerbLoad_Var;ETP;Latitude_Abs;Precipitation;Temperature
524;White et al. ;2008;Forb;Exotic;Enemy Release;NA;0.66;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.66;0.02;NA;NA;1601;28;1813;16.8
529;Zas et al. 2014;2011;Tree;Exotic;Enemy Release;NA;-0.24;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.24;0.01;NA;NA;1062;42;1149;13.3
530;Zheng et al.;2012;Forb;Invasive;Enemy Release;NA;1;0.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.44;NA;NA;1270;25;929;16.2
531;Zuefle & Tallami;2008;Tree;Exotic;Enemy Release;NA;-0.03;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.03;0.01;1316;39;1112;11.8
606;Matter et al. ;2012;Mixed;Exotic;Enemy Release;NA;0.45;0.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.45;0.19;NA;NA;1221;39;1052;12
608;Meijer et al. ;2008;Mixed;Exotic;Enemy Release;NA;1.1;0.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.06;0.1;1.15;0.11;720;53;788;8.7
608;Meijer et al. ;2008;Mixed;Exotic;Enemy Release;NA;0.94;0.16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.28;0.16;0.6;0.28;1084;38;1262;12.3
613;Norghauer et al. ;2011;Tree;Exotic;Enemy Release;NA;1.52;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.52;0.02;NA;NA;1813;15;2458;24.4
615;Parker & Gilbert;2007;Forb;Invasive;Enemy Release;NA;-0.62;0.12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.62;0.12;NA;NA;1249;38;1015;12.8
617;Pirk & Farji-Brener;2012;Forb;Exotic;Enemy Release;NA;-0.28;0.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.28;0.11;NA;NA;1329;41;861;8.6
