"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","method","pval","estimate","lower","upper","length","precision","abs_yi","source","repo","branch","repo_license"
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",43,0.731,0.002704,"estimate","FLOW-MR",1e-06,0.731,0.641,0.831,0.19,19.2307692307692,0.731,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",44,0.753,0.004356,"estimate","FLOW-MR",1e-08,0.753,0.641,0.897,0.256,15.1515151515152,0.753,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",45,0.748,0.002401,"estimate","MR-Horse",0.01,0.748,0.659,0.847,0.188,20.4081632653061,0.748,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",46,0.777,0.002401,"estimate","MR-Horse",1e-04,0.777,0.688,0.877,0.189,20.4081632653061,0.777,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",47,0.793,0.003249,"estimate","MR-Horse",1e-06,0.793,0.683,0.911,0.228,17.5438596491228,0.793,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",48,0.81,0.003481,"estimate","MR-Horse",1e-08,0.81,0.701,0.935,0.234,16.9491525423729,0.81,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",49,0.477,0.000841,"estimate","IVW",0.01,0.477,0.42,0.535,0.115,34.4827586206897,0.477,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",50,0.51,0.001024,"estimate","IVW",1e-04,0.51,0.448,0.573,0.125,31.25,0.51,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",51,0.538,0.001225,"estimate","IVW",1e-06,0.538,0.469,0.607,0.138,28.5714285714286,0.538,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",52,0.568,0.001444,"estimate","IVW",1e-08,0.568,0.494,0.642,0.148,26.3157894736842,0.568,"GitHub","FLOW-MR-PAPER","main",NA
