UIC,species_latin,species_local,country,province,site_name,replicates,start_date_year.month,monitoring_date_year.month,duration_months,survival_per,survival_sd,number_planted,half_life,seedling_trt_type,site_trt_type,Sseedling_trt_type,Ssite_trt_type,planting_density.m2,ENSO
DARY2016PHR_HLG,Shorea virenscens,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,0,NA,36,4.5,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea virenscens,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,0,NA,36,4.5,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Stemonurus scorpioides,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,37.9,NA,66,9.614495701,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Stemonurus scorpioides,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,68.2,NA,66,9.614495701,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Stemonurus scorpioides,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,66,9.614495701,none,none,none,none,NA,neutral
DARY2016PHR_PTWKS,Calophyllum inophyllum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,38.9,NA,NA,1.004289233,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Calophyllum inophyllum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,100,NA,NA,1.004289233,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Calophyllum inophyllum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,33.3,NA,NA,1.004289233,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Calophyllum inophyllum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,22.2,NA,NA,1.004289233,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Homalium caryophyllaceum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,33.3,NA,NA,11.82099439,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Homalium caryophyllaceum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,100,NA,NA,11.82099439,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Homalium caryophyllaceum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,66.7,NA,NA,11.82099439,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Homalium caryophyllaceum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,13.9,NA,NA,11.82099439,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea balangeran,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,27.8,NA,NA,12.38124987,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea balangeran,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,57.8,NA,NA,12.38124987,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea balangeran,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,100,NA,NA,12.38124987,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea balangeran,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,35.6,NA,NA,12.38124987,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea leprosula,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,100,NA,NA,8.678987131,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea leprosula,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,0,NA,NA,8.678987131,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea leprosula,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,31.1,NA,NA,8.678987131,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea leprosula,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,13.9,NA,NA,8.678987131,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea selanica,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,11.1,NA,NA,9.538534453,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea selanica,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,22.2,NA,NA,9.538534453,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea selanica,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,100,NA,NA,9.538534453,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea selanica,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,35.6,NA,NA,9.538534453,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Stemonurus scorpioides,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,100,NA,NA,9.916968539,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Stemonurus scorpioides,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,16.7,NA,NA,9.916968539,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Stemonurus scorpioides,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,53.5,NA,NA,9.916968539,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Stemonurus scorpioides,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,12.3,NA,NA,9.916968539,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Xylopia fusca,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,43.8,NA,NA,15.14641927,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Xylopia fusca,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,100,NA,NA,15.14641927,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Xylopia fusca,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,33.3,NA,NA,15.14641927,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Xylopia fusca,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,88.9,NA,NA,15.14641927,none,none,none,none,NA,NA
DT2020MPRP,Alstonia scholaris,Pulai,Indonesia,Central Kalimantan,Hantipan Canal,3,2017-2,2018-7,17,89,NA,3815,63.47031963,none,weeding,none,weeding,0.02,neutral
DT2020MPRP,Alstonia scholaris,Pulai,Indonesia,Central Kalimantan,Hantipan Canal,3,2017-2,2017-6,4,93,NA,3815,63.47031963,none,weeding,none,weeding,0.02,neutral
DT2020MPRP,Alstonia scholaris,Pulai,Indonesia,Central Kalimantan,Hantipan Canal,3,2017-2,2017-2,0,100,NA,3815,63.47031963,none,weeding,none,weeding,0.02,neutral
DT2020MPRP,Alstonia scholaris,Pulai,Indonesia,Central Kalimantan,Hantipan Canal,3,2017-2,2017-11,9,93,NA,3815,63.47031963,none,weeding,none,weeding,0.02,neutral
