Species,PaperID,Experimental treatment,Type of manipulation,Sex,Control,...7,Treatment,...9,OR,log(OR),SE log(OR),95% CI log(OR),Source
NA,NA,NA,NA,NA,Dead,Alive,Dead,Alive,NA,NA,NA,NA,NA
Cyanistes caeruleus,Paper038,Enlarged,Brood size,Male,9,3,11,0,0.136,-1.992,1.592,-5.113 to 1.128,NA
Cyanistes caeruleus,Paper038,Reduced,Brood size,Male,18,4,39,13,1.5,0.405,0.639,-0.846 to 1.657,NA
Cyanistes caeruleus,Paper038,Enlarged,Brood size,Male,18,4,17,1,0.265,-1.329,1.168,-3.618 to 0.960,NA
Cyanistes caeruleus,Paper038,Reduced,Brood size,Male,16,0,32,4,4,1.386,1.531,-1.614 to 4.386,NA
Cyanistes caeruleus,Paper038,Enlarged,Brood size,Male,16,0,23,3,4.174,1.429,1.562,-1.632 to 4.490,NA
Cyanistes caeruleus,Paper032,Reduced,Brood size,Male,13,6,10,3,0.65,-0.431,0.823,-2.043 to 1.181,"Nur, N. 1984. The consequences of brood size for breeding blue tits I. Adult survival, weight change and the cost of reproduction. J. Anim. Ecol. 53: 479_496."
Cyanistes caeruleus,Paper032,Reduced,Brood size,Male,13,6,15,2,0.289,-1.242,0.9,-3.005 to 0.522,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Male,13,6,10,6,1.3,0.262,0.714,-1.137 to 1.662,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Male,13,6,7,8,2.476,0.907,0.715,-0.494 to 2.308,NA
Cyanistes caeruleus,Paper032,Reduced,Brood size,Male,5,5,8,0,0.063,-2.773,1.589,-5.887 to 0.341,NA
Cyanistes caeruleus,Paper032,Reduced,Brood size,Male,5,5,10,0,0.05,-2.996,1.581,-6.094 to 0.103,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Male,5,5,8,0,0.063,-2.773,1.589,-5.887 to 0.341,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Male,5,5,5,2,0.4,-0.916,1.049,-2.971 to 1.139,NA
Falco sparverius,Paper008,Reduced,Brood size,Female,34,4,28,7,2.125,0.754,0.677,-0.572 to 2.080,"Dawson, R. & Bortolotti, G. 2003. Parental effort of American kestrels: The role of variation in brood size. Can. J. Zool. 81: 852_860."
Falco sparverius,Paper008,Reduced,Brood size,Male,12,10,20,9,0.54,-0.616,0.587,-1.766 to 0.534,NA
Falco tinnunculus,Paper007,Enlarged,Brood size,Female,55,44,29,22,0.948,-0.053,0.348,-0.734 to 0.628,"Daan, S., Deerenberg, C. & Dijkstra, C. 1996. Increased daily work precipitates natural death in the kestrel. J. Anim. Ecol. 65: 539_544."
Falco tinnunculus,Paper007,Reduced,Brood size,Female,55,44,17,27,1.985,0.686,0.37,-0.039 to 1.410,NA
Falco tinnunculus,Paper009,Enlarged,Brood size,Female,19,15,15,7,0.591,-0.526,0.573,-1.649 to 0.598,"Dijkstra, C., Bult, A., Bijlsma, S., Daan, S., Meijer, T. & Zijlstra, M. 1990. Brood size manipulations in the kestrel (Falco tinnunculus): effects on offspring and parent survival. J. Anim. Ecol. 59: 269_285."
Falco tinnunculus,Paper009,Reduced,Brood size,Female,19,15,14,16,1.448,0.37,0.503,-0.616 to 1.356,NA
Falco tinnunculus,Paper026,Enlarged,Brood size,Female,34,6,35,3,0.486,-0.722,0.747,-2.186 to 0.741,"Korpim_ki, E. & Rita, H. 1996. Effects of brood size manipulations on offspring and parental survival in the European kestrel under fluctuating food conditions. Ecoscience 3: 264_273."
Falco tinnunculus,Paper026,Reduced,Brood size,Female,34,6,26,8,1.744,0.556,0.6,-0.619 to 1.731,NA
Falco tinnunculus,Paper007,Enlarged,Brood size,Male,40,52,24,24,0.769,-0.262,0.357,-0.962 to 0.437,"Daan, S., Deerenberg, C. & Dijkstra, C. 1996. Increased daily work precipitates natural death in the kestrel. J. Anim. Ecol. 65: 539_544."
Falco tinnunculus,Paper007,Reduced,Brood size,Male,40,52,15,24,1.231,0.208,0.391,-0.557 to 0.973,NA
