Source,Neighbor species,Focal species,Visitation,Reproductive Success,d (vis),var (d vis),d (rep),var (d rep),Min. Distance ('control' to nearest neighbour),Treatment Arrangement,Interaction type,Study approach,Phylo,Symmetry,Colour,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32
Kandori 2009,Taraxacum officinale,Taraxacum japonicum Koidz.,yes,no,-0.641,0.14,NA,NA,20,interspersed,alien,experimental,46.62038,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandori 2009,Taraxacum officinale,Taraxacum japonicum,yes,no,-0.99,0.15,NA,NA,20,interspersed,alien,experimental,46.62038,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandori 2009,Taraxacum officinale,Taraxacum japonicum,yes,yes,NA,NA,-3.395,0.349,20,interspersed,alien,experimental,46.62038,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandori 2009,Taraxacum officinale,Taraxacum japonicum,yes,yes,NA,NA,-6.473,0.891,20,interspersed,alien,experimental,46.62038,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kasagi 2003,Phyllodoce caerulea,Phyllodoce aleutica,no,yes,NA,NA,0.373,0.036,NA,NA,native,observational,124.1034,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana Gams (var. blue),Dactylorhiza incarnata (L.) So—,no,yes,NA,NA,-1.62,0.227,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. blue,Dactylorhiza incarnata,no,yes,NA,NA,-1.347,0.126,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. blue,Dactylorhiza incarnata,no,yes,NA,NA,-1.707,0.131,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. red,Dactylorhiza incarnata,no,yes,NA,NA,-2.39,0.257,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. red,Dactylorhiza incarnata,no,yes,NA,NA,-1.8,0.141,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. red,Dactylorhiza incarnata,no,yes,NA,NA,-2.456,0.254,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larson 2006,Euphorbia esula,Calylophus serrulatus,yes,no,-1.638,0.257,NA,NA,NA,NA,alien,observational,235.069437,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Campanula rotundifolia,yes,no,0.608,0.191,NA,NA,NA,NA,alien,observational,238.331008,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Linum lewisii,yes,no,-0.033,0.053,NA,NA,NA,NA,alien,observational,206.617751,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Oxytropis lambertii,yes,no,-0.095,0.071,NA,NA,NA,NA,alien,observational,226.517135,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Sphaeralcea coccinea,yes,no,-0.61,0.105,NA,NA,NA,NA,alien,observational,235.069457,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Vicia americana,yes,no,0.124,0.25,NA,NA,NA,NA,alien,observational,226.517135,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
